step,loss,ppl,gate_rate
0,10.9772,58521.58,0.1250
20,6.5232,680.73,0.1250
40,6.5125,673.50,0.1250
60,6.4794,651.60,0.1250
80,6.4585,638.11,0.1250
100,6.2886,538.38,0.1250
120,6.3637,580.37,0.1250
140,6.2198,502.58,0.1250
160,6.2724,529.75,0.1250
180,6.4290,619.54,0.1250
200,6.5030,667.17,0.1250
220,6.3823,591.28,0.1250
240,6.2955,542.15,0.1250
260,6.4351,623.34,0.1250
280,6.3428,568.38,0.1250
300,6.2816,534.64,0.1250
320,6.3867,593.90,0.1250
340,6.1746,480.39,0.1250
360,6.2339,509.76,0.1250
380,6.0384,419.24,0.1250
400,5.6540,285.42,0.1250
420,5.8753,356.14,0.1250
440,5.6931,296.81,0.1250
460,5.7219,305.50,0.1250
480,5.7502,314.26,0.1250
500,5.6155,274.64,0.1250
520,5.6702,290.08,0.1250
540,5.7178,304.24,0.1250
560,5.5690,262.18,0.1250
580,5.2820,196.76,0.1250
600,5.5531,258.05,0.1250
620,5.5882,267.25,0.1250
640,5.3637,213.52,0.1250
660,5.3897,219.14,0.1250
680,5.2032,181.86,0.1250
700,5.5345,253.27,0.1250
720,5.3309,206.63,0.1250
740,5.2921,198.75,0.1250
760,5.4664,236.62,0.1250
780,5.2788,196.14,0.1250
800,5.2024,181.72,0.1250
820,5.2444,189.50,0.1250
840,5.2726,194.92,0.1250
860,5.1299,169.00,0.1250
880,4.8772,131.26,0.1250
900,4.9437,140.29,0.1250
920,5.0346,153.64,0.1250
940,4.9555,141.95,0.1250
960,4.9460,140.60,0.1250
980,5.2701,194.44,0.1250
