step,loss,ppl,gate_rate
0,10.9987,59797.39,0.0000
20,6.6335,760.14,0.0000
40,6.5348,688.66,0.0000
60,6.3082,549.05,0.0000
80,6.5569,704.11,0.0000
100,6.4800,651.98,0.0000
120,6.4752,648.87,0.0000
140,6.3882,594.79,0.0000
160,6.4387,625.59,0.0000
180,6.2903,539.31,0.0000
200,6.3433,568.68,0.0000
220,6.4510,633.32,0.0000
240,6.4039,604.20,0.0000
260,6.2798,533.70,0.0000
280,6.4557,636.31,0.0000
300,6.3790,589.35,0.0000
320,6.5097,671.66,0.0000
340,6.3326,562.63,0.0000
360,6.3146,552.61,0.0000
380,6.2476,516.75,0.0000
400,6.1071,449.01,0.0000
420,6.1528,470.04,0.0000
440,6.2630,524.80,0.0000
460,6.1484,467.97,0.0000
480,5.8747,355.91,0.0000
500,5.8629,351.74,0.0000
520,5.7511,314.54,0.0000
540,5.8467,346.09,0.0000
560,5.5251,250.91,0.0000
580,5.9784,394.81,0.0000
600,5.7564,316.20,0.0000
620,5.7138,303.02,0.0000
640,5.4625,235.68,0.0000
660,5.4027,222.01,0.0000
680,5.7763,322.57,0.0000
700,5.6675,289.31,0.0000
720,5.5217,250.07,0.0000
740,5.5705,262.57,0.0000
760,5.5480,256.73,0.0000
780,5.3970,220.73,0.0000
800,5.3465,209.86,0.0000
820,5.4174,225.29,0.0000
840,5.1440,171.39,0.0000
860,5.3863,218.40,0.0000
880,5.3102,202.39,0.0000
900,5.2850,197.35,0.0000
920,5.1634,174.76,0.0000
940,5.1804,177.76,0.0000
960,5.1320,169.36,0.0000
980,5.3448,209.52,0.0000
