step,loss,ppl,gate_rate
0,11.0662,63972.52,0.5000
20,6.7042,815.80,0.1396
40,6.3677,582.72,0.0505
60,6.4263,617.91,0.1270
80,6.4077,606.47,0.1211
100,6.2514,518.72,0.1318
120,6.4144,610.58,0.1260
140,6.4071,606.15,0.1289
160,6.2821,534.92,0.1260
180,6.3456,569.98,0.1250
200,6.3584,577.30,0.1245
220,6.4682,644.30,0.1289
240,6.2620,524.28,0.1289
260,6.5108,672.35,0.1177
280,6.4607,639.53,0.0116
300,6.0570,427.09,0.0033
320,6.4399,626.37,0.0103
340,6.2981,543.54,0.0159
360,6.2676,527.21,0.0099
380,6.0973,444.65,0.0249
400,6.2204,502.91,0.0278
420,6.0720,433.55,0.0146
440,6.0307,416.01,0.0232
460,5.9842,397.10,0.0767
480,5.7615,317.84,0.0586
500,5.6969,297.94,0.0591
520,5.6500,284.28,0.0693
540,5.7052,300.43,0.0579
560,5.7812,324.14,0.0435
580,5.3715,215.19,0.0608
600,5.8181,336.34,0.0413
620,5.5822,265.65,0.0259
640,5.4347,229.23,0.1416
660,5.5720,262.95,0.1230
680,5.4937,243.15,0.0304
700,5.5647,261.05,0.0476
720,5.6642,288.35,0.0265
740,5.3375,208.00,0.0334
760,5.3696,214.79,0.0410
780,5.4433,231.20,0.0481
800,5.3842,217.95,0.0312
820,5.2428,189.20,0.0330
840,5.5195,249.51,0.0337
860,5.3401,208.54,0.0356
880,5.0525,156.41,0.0479
900,5.4230,226.57,0.0425
920,5.1964,180.62,0.0542
940,5.1652,175.07,0.0386
960,4.9140,136.18,0.0459
980,5.1914,179.72,0.0454
