step,loss,ppl,gate_rate
0,10.9685,58016.96,0.0000
20,6.4778,650.51,0.0000
40,6.2963,542.58,0.0000
60,6.6020,736.60,0.0000
80,6.4194,613.61,0.0000
100,6.3941,598.30,0.0000
120,6.3051,547.35,0.0000
140,6.3008,545.00,0.0000
160,6.4244,616.71,0.0000
180,6.4310,620.79,0.0000
200,6.3932,597.74,0.0000
220,6.3515,573.33,0.0000
240,6.4444,629.18,0.0000
260,6.3070,548.39,0.0000
280,6.4621,640.43,0.0000
300,6.5018,666.31,0.0000
320,6.4147,610.73,0.0000
340,6.3859,593.43,0.0000
360,6.2125,498.96,0.0000
380,6.3776,588.53,0.0000
400,6.2749,531.09,0.0000
420,6.3221,556.77,0.0000
440,6.4445,629.20,0.0000
460,6.4243,616.63,0.0000
480,6.2404,513.08,0.0000
500,6.1379,463.08,0.0000
520,6.3298,561.06,0.0000
540,6.3483,571.54,0.0000
560,6.5204,678.84,0.0000
580,6.1860,485.89,0.0000
600,6.4842,654.73,0.0000
620,6.3995,601.52,0.0000
640,6.3024,545.88,0.0000
660,6.2856,536.80,0.0000
680,6.3869,594.02,0.0000
700,6.4392,625.90,0.0000
720,6.3211,556.20,0.0000
740,6.3765,587.88,0.0000
760,6.3507,572.90,0.0000
780,6.3407,567.17,0.0000
800,6.3097,549.88,0.0000
820,6.4028,603.50,0.0000
840,6.4417,627.49,0.0000
860,6.2840,535.93,0.0000
880,6.4167,611.95,0.0000
900,6.1902,487.92,0.0000
920,6.2610,523.73,0.0000
940,6.2142,499.79,0.0000
960,6.3449,569.57,0.0000
980,6.4871,656.63,0.0000
