step,loss,ppl,gate_rate
0,10.9625,57669.76,0.1250
20,6.9246,1017.03,0.1250
40,6.3823,591.30,0.1250
60,6.3854,593.10,0.1250
80,6.3358,564.40,0.1250
100,6.3704,584.27,0.1250
120,6.2194,502.38,0.1250
140,6.2224,503.89,0.1250
160,6.4232,615.97,0.1250
180,6.4844,654.88,0.1250
200,6.4513,633.53,0.1250
220,6.3740,586.42,0.1250
240,6.1917,488.69,0.1250
260,6.5102,671.93,0.1250
280,6.1375,462.91,0.1250
300,6.3601,578.28,0.1250
320,6.4851,655.31,0.1250
340,6.3367,564.91,0.1250
360,6.2653,525.99,0.1250
380,6.1431,465.49,0.1250
400,6.4097,607.72,0.1250
420,6.2846,536.25,0.1250
440,6.1415,464.77,0.1250
460,6.1576,472.27,0.1250
480,6.1243,456.83,0.1250
500,6.2327,509.12,0.1250
520,5.9550,385.69,0.1250
540,6.0410,420.31,0.1250
560,5.7694,320.35,0.1250
580,5.8359,342.36,0.1250
600,5.6981,298.31,0.1250
620,5.7145,303.23,0.1250
640,5.5244,250.73,0.1250
660,5.5084,246.75,0.1250
680,5.4592,234.92,0.1250
700,5.5165,248.77,0.1250
720,5.5330,252.90,0.1250
740,5.2836,197.08,0.1250
760,5.6170,275.05,0.1250
780,5.1170,166.84,0.1250
800,5.6480,283.72,0.1250
820,5.3837,217.84,0.1250
840,5.5187,249.31,0.1250
860,5.0263,152.37,0.1250
880,5.6529,285.11,0.1250
900,5.1097,165.62,0.1250
920,5.5530,258.02,0.1250
940,5.2290,186.60,0.1250
960,5.1964,180.62,0.1250
980,5.1412,170.92,0.1250
