step,loss,ppl,gate_rate
0,11.0340,61942.76,0.5000
20,6.8254,920.90,0.6445
40,6.5178,677.09,0.3438
60,6.4347,623.12,0.4316
80,6.3755,587.30,0.3848
100,6.3339,563.37,0.4453
120,6.3841,592.35,0.3730
140,6.4511,633.42,0.3750
160,6.2556,520.91,0.4102
180,6.4368,624.43,0.3359
200,6.3433,568.69,0.1270
220,6.4652,642.40,0.1855
240,6.2581,522.23,0.0271
260,6.4815,652.96,0.0442
280,6.2717,529.38,0.0161
300,6.3425,568.19,0.0054
320,6.3629,579.91,0.0071
340,6.3550,575.39,0.0062
360,6.3943,598.42,0.0070
380,6.2658,526.25,0.0374
400,6.3245,558.08,0.0400
420,6.0586,427.79,0.0420
440,6.0742,434.49,0.0579
460,5.7163,303.76,0.0300
480,6.0218,412.31,0.0325
500,5.9312,376.60,0.0454
520,5.8202,337.04,0.0334
540,5.7766,322.65,0.0208
560,5.9583,386.96,0.0322
580,5.9437,381.35,0.0142
600,5.8429,344.77,0.0317
620,5.6597,287.07,0.0237
640,5.6113,273.51,0.0291
660,5.4165,225.09,0.0206
680,6.0604,428.55,0.0172
700,5.6994,298.68,0.0220
720,5.5258,251.08,0.0317
740,5.6756,291.66,0.0233
760,5.4710,237.69,0.0222
780,5.3885,218.87,0.0209
800,5.2406,188.78,0.0259
820,5.4094,223.49,0.0302
840,5.2443,189.48,0.0278
860,5.4083,223.26,0.0620
880,5.2961,199.55,0.0291
900,5.3095,202.24,0.0239
920,5.1041,164.70,0.0332
940,5.2742,195.23,0.0280
960,5.4202,225.93,0.0269
980,5.2866,197.67,0.0281
