Layer,Rank_Normal,Rank_NoAttn
0,115.15623474121094,115.15623474121094
1,144.22457885742188,110.62042999267578
2,166.94044494628906,109.11885070800781
3,65.40157318115234,61.5449104309082
4,89.54232025146484,69.86424255371094
5,109.36711120605469,74.87969207763672
6,128.1903839111328,78.48222351074219
7,148.41726684570312,80.48824310302734
8,139.1013946533203,57.672306060791016
9,174.56784057617188,60.42925262451172
10,201.1028289794922,61.722450256347656
11,225.59927368164062,63.24894714355469
12,262.6025085449219,64.83857727050781
13,284.18890380859375,67.82054138183594
14,299.9605407714844,72.24369049072266
15,307.283203125,77.15531158447266
16,333.2856750488281,83.3209457397461
17,344.177978515625,90.02851104736328
18,357.8213806152344,93.99691772460938
19,358.8250427246094,97.11753845214844
20,365.9248962402344,99.5179443359375
21,373.3121032714844,99.30860900878906
22,383.964111328125,101.44766235351562
