step,loss,ppl,gate_rate
0,11.0218,61191.46,0.4995
20,4.6375,103.29,0.0157
40,4.6180,101.29,0.0005
60,4.6100,100.49,0.0007
80,4.6106,100.54,0.0001
100,4.6127,100.75,0.0002
120,4.6188,101.37,0.0003
140,4.6134,100.83,0.0002
160,4.6154,101.03,0.0002
180,4.6111,100.59,0.0001
200,4.6184,101.33,0.0001
220,4.6183,101.32,0.0001
240,4.6116,100.65,0.0001
260,4.6206,101.56,0.0001
280,4.6147,100.95,0.0001
300,4.6201,101.51,0.0001
320,4.6112,100.60,0.0001
340,4.6143,100.92,0.0001
360,4.6172,101.21,0.0001
380,4.6140,100.89,0.0001
400,4.6152,101.01,0.0001
420,4.6128,100.77,0.0001
440,4.6161,101.10,0.0001
460,4.6147,100.96,0.0001
480,4.6146,100.94,0.0001
500,4.6183,101.32,0.0001
520,4.6170,101.19,0.0001
540,4.6151,101.00,0.0001
560,4.6177,101.26,0.0001
580,4.6119,100.68,0.0001
600,4.6147,100.95,0.0001
620,4.6212,101.61,0.0000
640,4.6149,100.98,0.0001
660,4.6164,101.13,0.0001
680,4.6205,101.55,0.0000
700,4.6118,100.67,0.0000
720,4.6136,100.84,0.0000
740,4.6121,100.70,0.0000
760,4.6146,100.95,0.0001
780,4.6136,100.84,0.0001
800,4.6100,100.48,0.0000
820,4.6151,101.00,0.0000
840,4.6125,100.74,0.0000
860,4.6124,100.72,0.0000
880,4.6092,100.41,0.0000
900,4.6137,100.86,0.0001
920,4.6149,100.98,0.0001
940,4.6119,100.67,0.0000
960,4.6142,100.91,0.0001
980,4.6134,100.83,0.0000
