step,loss,ppl,gate_rate
0,11.0242,61343.20,0.1250
20,7.7883,2412.24,0.1250
40,7.6183,2035.09,0.1250
60,7.4825,1776.68,0.1250
80,7.5164,1837.88,0.1250
100,7.4721,1758.23,0.1250
120,7.4741,1761.84,0.1250
140,7.4193,1667.85,0.1250
160,7.5801,1958.81,0.1250
180,7.4883,1787.01,0.1250
200,7.5105,1827.16,0.1250
220,7.5463,1893.67,0.1250
240,7.4631,1742.59,0.1250
260,7.4947,1798.42,0.1250
280,7.5138,1833.22,0.1250
300,7.4988,1805.85,0.1250
320,7.4977,1803.94,0.1250
340,7.3905,1620.60,0.1250
360,7.4817,1775.24,0.1250
380,7.4339,1692.47,0.1250
400,7.5067,1820.14,0.1250
420,7.5074,1821.46,0.1250
440,7.3912,1621.59,0.1250
460,7.3939,1626.09,0.1250
480,7.3610,1573.34,0.1250
500,7.4656,1746.92,0.1250
520,7.5134,1832.45,0.1250
540,7.3759,1597.11,0.1250
560,7.5299,1862.98,0.1250
580,7.4885,1787.39,0.1250
600,7.4830,1777.49,0.1250
620,7.3985,1633.46,0.1250
640,7.3852,1611.87,0.1250
660,7.2977,1476.85,0.1250
680,7.3900,1619.78,0.1250
700,7.1935,1330.78,0.1250
720,7.4491,1718.28,0.1250
740,7.3714,1589.78,0.1250
760,7.2229,1370.48,0.1250
780,7.0978,1209.26,0.1250
800,7.1409,1262.60,0.1250
820,7.0479,1150.42,0.1250
840,7.0979,1209.40,0.1250
860,7.2814,1453.02,0.1250
880,7.2845,1457.60,0.1250
900,7.1764,1308.17,0.1250
920,7.1354,1255.69,0.1250
940,7.2041,1344.93,0.1250
960,7.1680,1297.21,0.1250
980,7.1829,1316.71,0.1250
1000,7.0260,1125.54,0.1250
1020,7.1082,1221.90,0.1250
1040,6.9855,1080.86,0.1250
1060,7.1378,1258.66,0.1250
1080,6.9918,1087.63,0.1250
1100,7.2449,1400.97,0.1250
1120,7.1972,1335.66,0.1250
1140,7.0180,1116.57,0.1250
1160,6.9774,1072.09,0.1250
1180,7.2953,1473.40,0.1250
1200,6.7304,837.45,0.1250
1220,7.1181,1234.06,0.1250
1240,7.0033,1100.22,0.1250
1260,7.0632,1168.12,0.1250
1280,6.9093,1001.54,0.1250
1300,6.9815,1076.55,0.1250
1320,7.0330,1133.44,0.1250
1340,6.8648,957.99,0.1250
1360,7.1369,1257.52,0.1250
1380,6.9671,1061.14,0.1250
1400,6.9426,1035.44,0.1250
1420,7.0240,1123.30,0.1250
1440,7.0514,1154.44,0.1250
1460,7.0484,1151.07,0.1250
1480,6.8805,973.11,0.1250
1500,7.1483,1271.99,0.1250
1520,6.7798,879.93,0.1250
1540,7.2182,1364.02,0.1250
1560,6.6218,751.30,0.1250
1580,7.0506,1153.52,0.1250
1600,7.1063,1219.60,0.1250
1620,6.8618,955.05,0.1250
1640,6.7882,887.27,0.1250
1660,7.1490,1272.84,0.1250
1680,6.9776,1072.36,0.1250
1700,6.9975,1093.94,0.1250
1720,6.8715,964.43,0.1250
1740,7.0595,1163.82,0.1250
1760,6.9772,1071.88,0.1250
1780,6.7961,894.37,0.1250
1800,6.9684,1062.55,0.1250
1820,6.9835,1078.64,0.1250
1840,6.9187,1010.99,0.1250
1860,6.8626,955.83,0.1250
1880,6.7984,896.37,0.1250
1900,7.0788,1186.54,0.1250
1920,6.9148,1007.03,0.1250
1940,6.5347,688.62,0.1250
1960,6.7976,895.68,0.1250
1980,6.7187,827.74,0.1250
2000,6.7671,868.80,0.1250
2020,7.0828,1191.29,0.1250
2040,6.9662,1060.24,0.1250
2060,6.7048,816.35,0.1250
2080,6.8707,963.60,0.1250
2100,6.8457,939.81,0.1250
2120,6.5670,711.25,0.1250
2140,6.7211,829.70,0.1250
2160,6.9025,994.73,0.1250
2180,7.0523,1155.53,0.1250
2200,6.9515,1044.71,0.1250
2220,6.8825,975.09,0.1250
2240,6.7841,883.71,0.1250
2260,6.8196,915.64,0.1250
2280,6.7058,817.14,0.1250
2300,6.9331,1025.65,0.1250
2320,6.9718,1066.13,0.1250
2340,6.8014,899.08,0.1250
2360,6.8943,986.61,0.1250
2380,6.9550,1048.34,0.1250
2400,6.5286,684.41,0.1250
2420,6.4571,637.20,0.1250
2440,6.6935,807.13,0.1250
2460,6.7245,832.58,0.1250
2480,6.4919,659.75,0.1250
2500,6.8170,913.22,0.1250
2520,6.8359,930.69,0.1250
2540,6.7783,878.58,0.1250
2560,6.8869,979.35,0.1250
2580,6.7949,893.32,0.1250
2600,6.8330,927.94,0.1250
2620,6.8137,910.21,0.1250
2640,6.7700,871.32,0.1250
2660,6.4497,632.52,0.1250
2680,6.4688,644.69,0.1250
2700,6.5444,695.36,0.1250
2720,6.7483,852.60,0.1250
2740,6.6560,777.47,0.1250
2760,6.8429,937.16,0.1250
2780,6.6870,801.89,0.1250
2800,6.4604,639.32,0.1250
2820,6.6946,808.01,0.1250
2840,6.8165,912.75,0.1250
2860,6.7423,847.49,0.1250
2880,6.4225,615.52,0.1250
2900,6.3604,578.48,0.1250
2920,6.6038,737.87,0.1250
2940,6.6046,738.46,0.1250
2960,6.5547,702.51,0.1250
2980,6.6631,783.01,0.1250
