step,loss,ppl,gate_rate
0,10.9901,59287.19,0.0000
20,7.8269,2507.14,0.0000
40,7.3840,1610.04,0.0000
60,7.4824,1776.45,0.0000
80,7.3117,1497.74,0.0000
100,7.3001,1480.44,0.0000
120,7.4174,1664.74,0.0000
140,7.3797,1603.12,0.0000
160,7.4284,1683.06,0.0000
180,7.3319,1528.23,0.0000
200,7.2484,1405.84,0.0000
220,7.3483,1553.57,0.0000
240,7.3341,1531.70,0.0000
260,7.2106,1353.71,0.0000
280,7.4224,1673.05,0.0000
300,7.2097,1352.42,0.0000
320,7.1855,1320.14,0.0000
340,7.2788,1449.27,0.0000
360,7.3287,1523.37,0.0000
380,7.2561,1416.79,0.0000
400,7.3801,1603.68,0.0000
420,7.3090,1493.75,0.0000
440,7.3913,1621.86,0.0000
460,7.3195,1509.47,0.0000
480,7.2128,1356.75,0.0000
500,7.2761,1445.37,0.0000
520,7.1703,1300.24,0.0000
540,7.2763,1445.63,0.0000
560,7.2239,1371.81,0.0000
580,7.0882,1197.75,0.0000
600,7.2954,1473.57,0.0000
620,7.1405,1262.03,0.0000
640,7.2286,1378.30,0.0000
660,7.1319,1251.31,0.0000
680,7.2201,1366.59,0.0000
700,7.2212,1368.18,0.0000
720,7.1649,1293.19,0.0000
740,7.0305,1130.63,0.0000
760,6.9411,1033.88,0.0000
780,7.0186,1117.24,0.0000
800,7.1650,1293.40,0.0000
820,7.0406,1142.04,0.0000
840,7.1386,1259.61,0.0000
860,7.0256,1125.04,0.0000
880,7.0565,1160.39,0.0000
900,7.1520,1276.66,0.0000
920,6.9690,1063.18,0.0000
940,7.0756,1182.79,0.0000
960,7.1685,1297.85,0.0000
980,6.6245,753.30,0.0000
1000,7.1411,1262.78,0.0000
1020,6.9404,1033.17,0.0000
1040,6.9689,1063.04,0.0000
1060,6.6017,736.33,0.0000
1080,6.9988,1095.35,0.0000
1100,6.8452,939.38,0.0000
1120,6.8785,971.13,0.0000
1140,6.7293,836.57,0.0000
1160,6.8950,987.33,0.0000
1180,6.8172,913.42,0.0000
1200,6.6462,769.84,0.0000
1220,6.8321,927.09,0.0000
1240,6.9653,1059.20,0.0000
1260,6.6167,747.48,0.0000
1280,6.8772,969.94,0.0000
1300,6.6197,749.68,0.0000
1320,6.7535,857.06,0.0000
1340,6.6171,747.80,0.0000
1360,6.5587,705.39,0.0000
1380,6.6983,811.03,0.0000
1400,6.4774,650.30,0.0000
1420,6.6538,775.72,0.0000
1440,6.4578,637.69,0.0000
1460,6.5700,713.35,0.0000
1480,6.6631,782.97,0.0000
1500,6.5936,730.40,0.0000
1520,6.6628,782.74,0.0000
1540,6.5535,701.69,0.0000
1560,6.5496,698.98,0.0000
1580,6.4051,604.94,0.0000
1600,6.3826,591.44,0.0000
1620,6.4120,609.13,0.0000
1640,6.3193,555.19,0.0000
1660,6.5170,676.57,0.0000
1680,6.2540,520.10,0.0000
1700,6.2898,539.04,0.0000
1720,6.5688,712.49,0.0000
1740,6.2668,526.80,0.0000
1760,6.5000,665.16,0.0000
1780,6.1197,454.71,0.0000
1800,6.3005,544.85,0.0000
1820,6.0701,432.72,0.0000
1840,6.4851,655.34,0.0000
1860,6.2710,528.98,0.0000
1880,6.2592,522.82,0.0000
1900,5.9966,402.06,0.0000
1920,5.8428,344.75,0.0000
1940,6.0841,438.84,0.0000
1960,6.0979,444.92,0.0000
1980,6.1233,456.36,0.0000
2000,6.0532,425.45,0.0000
2020,6.3028,546.09,0.0000
2040,6.0810,437.48,0.0000
2060,6.2591,522.75,0.0000
2080,5.6520,284.85,0.0000
2100,5.5495,257.10,0.0000
2120,5.9434,381.23,0.0000
2140,5.6901,295.92,0.0000
2160,5.5710,262.70,0.0000
2180,5.7953,328.74,0.0000
2200,5.9319,376.89,0.0000
2220,5.8119,334.27,0.0000
2240,5.8805,357.98,0.0000
2260,5.8271,339.38,0.0000
2280,5.6532,285.19,0.0000
2300,5.6927,296.70,0.0000
2320,5.7672,319.65,0.0000
2340,5.5120,247.64,0.0000
2360,5.6271,277.87,0.0000
2380,5.4986,244.35,0.0000
2400,5.1325,169.45,0.0000
2420,5.5532,258.07,0.0000
2440,5.8491,346.93,0.0000
2460,5.0408,154.60,0.0000
2480,5.1384,170.45,0.0000
2500,5.7219,305.48,0.0000
2520,5.5567,258.98,0.0000
2540,5.6728,290.84,0.0000
2560,5.3290,206.24,0.0000
2580,5.2669,193.82,0.0000
2600,5.0723,159.54,0.0000
2620,4.9809,145.61,0.0000
2640,5.0951,163.22,0.0000
2660,5.1864,178.82,0.0000
2680,5.0849,161.56,0.0000
2700,5.3430,209.14,0.0000
2720,4.3102,74.45,0.0000
2740,5.0067,149.42,0.0000
2760,4.7232,112.53,0.0000
2780,5.2692,194.25,0.0000
2800,4.5474,94.39,0.0000
2820,4.9411,139.92,0.0000
2840,4.8506,127.82,0.0000
2860,4.7484,115.40,0.0000
2880,4.9725,144.39,0.0000
2900,4.3989,81.36,0.0000
2920,4.5235,92.16,0.0000
2940,4.6336,102.88,0.0000
2960,4.3485,77.36,0.0000
2980,3.8741,48.14,0.0000
