step,loss,ppl,gate_rate
0,10.9708,58153.89,1.0000
20,7.6941,2195.32,1.0000
40,7.4966,1801.84,1.0000
60,7.7635,2353.07,0.6308
80,7.4993,1806.78,0.5212
100,7.4114,1654.67,0.4442
120,7.5387,1879.34,0.1332
140,7.5205,1845.44,0.0459
160,7.4904,1790.81,0.0354
180,7.4188,1667.03,0.0181
200,7.5136,1832.89,0.1088
220,7.4991,1806.36,0.0021
240,7.5314,1865.77,0.0020
260,7.4704,1755.33,0.0050
280,7.4532,1725.37,0.0056
300,7.3707,1588.69,0.0017
320,7.5058,1818.62,0.0182
340,7.3935,1625.45,0.0031
360,7.4703,1755.05,0.0022
380,7.7133,2237.83,0.0016
400,7.1344,1254.34,0.0125
420,7.3879,1616.35,0.0496
440,7.4089,1650.60,0.0079
460,7.2488,1406.42,0.0213
480,7.5665,1932.28,0.0179
500,7.4472,1715.13,0.0192
520,7.5114,1828.79,0.0176
540,7.4181,1665.85,0.0190
560,7.3640,1578.10,0.0169
580,7.1509,1275.27,0.0222
600,7.6257,2050.25,0.0122
620,7.2295,1379.60,0.0391
640,7.3059,1489.06,0.0184
660,7.2864,1460.33,0.0137
680,7.5252,1854.11,0.0939
700,7.1944,1331.91,0.0200
720,7.2749,1443.61,0.0490
740,6.9705,1064.79,0.0294
760,7.1901,1326.25,0.0297
780,7.1072,1220.73,0.0379
800,7.1763,1308.12,0.0264
820,7.2155,1360.34,0.0506
840,7.2304,1380.76,0.0446
860,7.2059,1347.29,0.0435
880,7.2707,1437.52,0.0172
900,7.2837,1456.32,0.0140
920,7.1462,1269.27,0.0449
940,6.9696,1063.81,0.0220
960,7.0802,1188.19,0.0537
980,7.0878,1197.30,0.0179
1000,7.2126,1356.43,0.0529
1020,7.0995,1211.40,0.0367
1040,6.9348,1027.44,0.0066
1060,7.0480,1150.51,0.0180
1080,7.1774,1309.46,0.0094
1100,6.8489,942.86,0.0451
1120,6.9514,1044.58,0.0127
1140,6.9652,1059.12,0.0182
1160,7.1596,1286.43,0.0087
1180,6.9919,1087.75,0.0107
1200,7.2080,1350.20,0.0050
1220,6.7342,840.68,0.0093
1240,7.0625,1167.31,0.0215
1260,6.9218,1014.11,0.0162
1280,7.1526,1277.39,0.0067
1300,6.9153,1007.57,0.0176
1320,6.8774,970.08,0.0141
1340,7.1004,1212.50,0.0082
1360,7.1207,1237.30,0.0126
1380,6.8274,922.82,0.0171
1400,7.0369,1137.89,0.0179
1420,6.7647,866.75,0.0140
1440,7.1174,1233.20,0.0072
1460,6.9468,1039.77,0.0118
1480,6.8301,925.32,0.0113
1500,7.0176,1116.15,0.0092
1520,6.9408,1033.61,0.0178
1540,6.9954,1091.57,0.0057
1560,6.8771,969.85,0.0082
1580,7.1259,1243.73,0.0062
1600,6.7747,875.44,0.0060
1620,6.9328,1025.35,0.0079
1640,7.1468,1270.06,0.0050
1660,6.9981,1094.55,0.0079
1680,7.1735,1304.36,0.0053
1700,7.0755,1182.62,0.0083
1720,6.9702,1064.47,0.0068
1740,7.0313,1131.51,0.0090
1760,7.0915,1201.74,0.0057
1780,6.6143,745.69,0.0059
1800,7.0175,1116.00,0.0067
1820,6.9123,1004.60,0.0036
1840,7.1155,1230.94,0.0075
1860,6.9247,1017.07,0.0058
1880,7.0274,1127.09,0.0034
1900,6.7219,830.39,0.0078
1920,7.0127,1110.67,0.0170
1940,6.8920,984.35,0.0073
1960,6.9369,1029.54,0.0068
1980,7.0024,1099.29,0.0087
2000,6.9330,1025.55,0.0094
2020,6.9787,1073.51,0.0050
2040,6.9999,1096.48,0.0181
2060,6.6958,809.01,0.0241
2080,7.0015,1098.26,0.0069
2100,6.8955,987.83,0.0127
2120,7.2103,1353.28,0.0165
2140,6.8008,898.53,0.0113
2160,6.8414,935.79,0.0071
2180,6.4825,653.59,0.0175
2200,6.5799,720.48,0.0224
2220,6.8271,922.52,0.0090
2240,6.9881,1083.62,0.0063
2260,6.7111,821.48,0.0168
2280,7.0769,1184.25,0.0058
2300,6.6865,801.54,0.0069
2320,6.8061,903.31,0.0152
2340,6.7265,834.24,0.0119
2360,6.6012,736.00,0.0134
2380,6.9771,1071.81,0.0080
2400,6.8523,946.02,0.0226
2420,6.8970,989.34,0.0176
2440,6.6659,785.17,0.0114
2460,6.8856,978.05,0.0137
2480,6.9066,998.87,0.0078
2500,6.8891,981.53,0.0070
2520,6.5106,672.24,0.0126
2540,6.9055,997.74,0.0057
2560,6.6353,761.49,0.0082
2580,6.6122,744.13,0.0183
2600,6.8990,991.28,0.0062
2620,6.8237,919.39,0.0061
2640,6.4621,640.40,0.0097
2660,6.6761,793.20,0.0086
2680,6.6540,775.85,0.0061
2700,6.8296,924.87,0.0061
2720,6.6798,796.20,0.0181
2740,6.8859,978.35,0.0073
2760,6.7871,886.32,0.0082
2780,6.4911,659.25,0.0089
2800,6.8246,920.16,0.0059
2820,6.6867,801.69,0.0079
2840,6.6670,786.02,0.0117
2860,6.6771,793.98,0.0108
2880,6.8148,911.25,0.0041
2900,6.6231,752.29,0.0087
2920,6.6534,775.41,0.0108
2940,6.9392,1031.95,0.0117
2960,6.7793,879.48,0.0090
2980,6.5347,688.61,0.0256
